,Comunidades Autónomas y Provincias,Viajeros y pernoctaciones,Residencia,Periodo,Value
0,Total Nacional,Viajero,Total ,2021M05,3404118.0
1,Total Nacional,Viajero,Total ,2021M04,1955719.0
2,Total Nacional,Viajero,Total ,2021M03,1770722.0
3,Total Nacional,Viajero,Residentes en España,2021M05,2580060.0
4,Total Nacional,Viajero,Residentes en España,2021M04,1559023.0
5,Total Nacional,Viajero,Residentes en España,2021M03,1456708.0
6,Total Nacional,Viajero,Residentes en el Extranjero,2021M05,824057.0
7,Total Nacional,Viajero,Residentes en el Extranjero,2021M04,396696.0
8,Total Nacional,Viajero,Residentes en el Extranjero,2021M03,314013.0
9,Total Nacional,Pernoctaciones,Total ,2021M05,7342738.0
10,Total Nacional,Pernoctaciones,Total ,2021M04,4142415.0
11,Total Nacional,Pernoctaciones,Total ,2021M03,3588559.0
12,Total Nacional,Pernoctaciones,Residentes en España,2021M05,4695099.0
13,Total Nacional,Pernoctaciones,Residentes en España,2021M04,2841406.0
14,Total Nacional,Pernoctaciones,Residentes en España,2021M03,2591447.0
15,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M05,2647639.0
16,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M04,1301009.0
17,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M03,997112.0
18,Andalucía,Viajero,Total ,2021M05,670345.0
19,Andalucía,Viajero,Total ,2021M04,304931.0
20,Andalucía,Viajero,Total ,2021M03,279657.0
21,Andalucía,Viajero,Residentes en España,2021M05,541892.0
22,Andalucía,Viajero,Residentes en España,2021M04,247281.0
23,Andalucía,Viajero,Residentes en España,2021M03,236836.0
24,Andalucía,Viajero,Residentes en el Extranjero,2021M05,128453.0
25,Andalucía,Viajero,Residentes en el Extranjero,2021M04,57651.0
26,Andalucía,Viajero,Residentes en el Extranjero,2021M03,42820.0
27,Andalucía,Pernoctaciones,Total ,2021M05,1302485.0
28,Andalucía,Pernoctaciones,Total ,2021M04,549272.0
29,Andalucía,Pernoctaciones,Total ,2021M03,496722.0
30,Andalucía,Pernoctaciones,Residentes en España,2021M05,976365.0
31,Andalucía,Pernoctaciones,Residentes en España,2021M04,400319.0
32,Andalucía,Pernoctaciones,Residentes en España,2021M03,384117.0
33,Andalucía,Pernoctaciones,Residentes en el Extranjero,2021M05,326120.0
34,Andalucía,Pernoctaciones,Residentes en el Extranjero,2021M04,148954.0
35,Andalucía,Pernoctaciones,Residentes en el Extranjero,2021M03,112605.0
36,Almería,Viajero,Total ,2021M05,43071.0
37,Almería,Viajero,Total ,2021M04,19595.0
38,Almería,Viajero,Total ,2021M03,17400.0
39,Almería,Viajero,Residentes en España,2021M05,37240.0
40,Almería,Viajero,Residentes en España,2021M04,16155.0
41,Almería,Viajero,Residentes en España,2021M03,14623.0
42,Almería,Viajero,Residentes en el Extranjero,2021M05,5832.0
43,Almería,Viajero,Residentes en el Extranjero,2021M04,3440.0
44,Almería,Viajero,Residentes en el Extranjero,2021M03,2777.0
45,Almería,Pernoctaciones,Total ,2021M05,78609.0
46,Almería,Pernoctaciones,Total ,2021M04,35496.0
47,Almería,Pernoctaciones,Total ,2021M03,30503.0
48,Almería,Pernoctaciones,Residentes en España,2021M05,65848.0
49,Almería,Pernoctaciones,Residentes en España,2021M04,27545.0
50,Almería,Pernoctaciones,Residentes en España,2021M03,24548.0
51,Almería,Pernoctaciones,Residentes en el Extranjero,2021M05,12761.0
52,Almería,Pernoctaciones,Residentes en el Extranjero,2021M04,7952.0
53,Almería,Pernoctaciones,Residentes en el Extranjero,2021M03,5955.0
54,Cádiz,Viajero,Total ,2021M05,146286.0
55,Cádiz,Viajero,Total ,2021M04,47099.0
56,Cádiz,Viajero,Total ,2021M03,40397.0
57,Cádiz,Viajero,Residentes en España,2021M05,126245.0
58,Cádiz,Viajero,Residentes en España,2021M04,37357.0
59,Cádiz,Viajero,Residentes en España,2021M03,33194.0
60,Cádiz,Viajero,Residentes en el Extranjero,2021M05,20041.0
61,Cádiz,Viajero,Residentes en el Extranjero,2021M04,9743.0
62,Cádiz,Viajero,Residentes en el Extranjero,2021M03,7203.0
63,Cádiz,Pernoctaciones,Total ,2021M05,295787.0
64,Cádiz,Pernoctaciones,Total ,2021M04,93953.0
65,Cádiz,Pernoctaciones,Total ,2021M03,82547.0
