,Comunidades Autónomas y Provincias,Viajeros y pernoctaciones,Residencia,Periodo,Value
0,Total Nacional,Viajero,Total ,2021M05,3358838.0
1,Total Nacional,Viajero,Residentes en España,2021M05,2553635.0
2,Total Nacional,Viajero,Residentes en el Extranjero,2021M05,805203.0
3,Total Nacional,Pernoctaciones,Total ,2021M05,7226242.0
4,Total Nacional,Pernoctaciones,Residentes en España,2021M05,4639412.0
5,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M05,2586830.0
6,Andalucía,Viajero,Total ,2021M05,662698.0
7,Andalucía,Viajero,Residentes en España,2021M05,534706.0
8,Andalucía,Viajero,Residentes en el Extranjero,2021M05,127992.0
9,Andalucía,Pernoctaciones,Total ,2021M05,1281044.0
10,Andalucía,Pernoctaciones,Residentes en España,2021M05,955669.0
11,Andalucía,Pernoctaciones,Residentes en el Extranjero,2021M05,325375.0
12,Almería,Viajero,Total ,2021M05,42682.0
13,Almería,Viajero,Residentes en España,2021M05,36854.0
14,Almería,Viajero,Residentes en el Extranjero,2021M05,5828.0
15,Almería,Pernoctaciones,Total ,2021M05,78069.0
16,Almería,Pernoctaciones,Residentes en España,2021M05,65337.0
17,Almería,Pernoctaciones,Residentes en el Extranjero,2021M05,12731.0
18,Cádiz,Viajero,Total ,2021M05,142391.0
19,Cádiz,Viajero,Residentes en España,2021M05,122431.0
20,Cádiz,Viajero,Residentes en el Extranjero,2021M05,19960.0
21,Cádiz,Pernoctaciones,Total ,2021M05,288240.0
22,Cádiz,Pernoctaciones,Residentes en España,2021M05,233659.0
23,Cádiz,Pernoctaciones,Residentes en el Extranjero,2021M05,54581.0
24,Córdoba,Viajero,Total ,2021M05,50103.0
25,Córdoba,Viajero,Residentes en España,2021M05,42352.0
26,Córdoba,Viajero,Residentes en el Extranjero,2021M05,7751.0
27,Córdoba,Pernoctaciones,Total ,2021M05,83529.0
28,Córdoba,Pernoctaciones,Residentes en España,2021M05,70036.0
29,Córdoba,Pernoctaciones,Residentes en el Extranjero,2021M05,13493.0
30,Granada,Viajero,Total ,2021M05,70439.0
31,Granada,Viajero,Residentes en España,2021M05,58786.0
32,Granada,Viajero,Residentes en el Extranjero,2021M05,11653.0
33,Granada,Pernoctaciones,Total ,2021M05,121037.0
34,Granada,Pernoctaciones,Residentes en España,2021M05,96590.0
35,Granada,Pernoctaciones,Residentes en el Extranjero,2021M05,24446.0
36,Huelva,Viajero,Total ,2021M05,34020.0
37,Huelva,Viajero,Residentes en España,2021M05,31165.0
38,Huelva,Viajero,Residentes en el Extranjero,2021M05,2855.0
39,Huelva,Pernoctaciones,Total ,2021M05,72409.0
40,Huelva,Pernoctaciones,Residentes en España,2021M05,65990.0
41,Huelva,Pernoctaciones,Residentes en el Extranjero,2021M05,6419.0
42,Jaén,Viajero,Total ,2021M05,27345.0
43,Jaén,Viajero,Residentes en España,2021M05,25120.0
44,Jaén,Viajero,Residentes en el Extranjero,2021M05,2224.0
45,Jaén,Pernoctaciones,Total ,2021M05,47234.0
46,Jaén,Pernoctaciones,Residentes en España,2021M05,43541.0
47,Jaén,Pernoctaciones,Residentes en el Extranjero,2021M05,3693.0
48,Málaga,Viajero,Total ,2021M05,178043.0
49,Málaga,Viajero,Residentes en España,2021M05,123544.0
50,Málaga,Viajero,Residentes en el Extranjero,2021M05,54499.0
